name,label,label_raw
ResponseId,Response ID,Response ID
Q4_1,"Today I feel able to meet my responsibilities (e.g. work, school).","Please indicate how strongly you agree or disagree with the following statements. - Today I feel able to meet my responsibilities (e.g. work, school)."
Q4_2,Today I feel optimistic about the future.,Please indicate how strongly you agree or disagree with the following statements. - Today I feel optimistic about the future.
Q4_3,Today I feel loved.,Please indicate how strongly you agree or disagree with the following statements. - Today I feel loved.
Q4_4,Today I feel annoyed/irritable.,Please indicate how strongly you agree or disagree with the following statements. - Today I feel annoyed/irritable.
Q4_5,Today I feel rested.,Please indicate how strongly you agree or disagree with the following statements. - Today I feel rested.
Q4_6,Today I feel happy.,Please indicate how strongly you agree or disagree with the following statements. - Today I feel happy.
Q4_7,Today I feel in physical pain.,Please indicate how strongly you agree or disagree with the following statements. - Today I feel in physical pain.
Q4_8,Today I feel confident.,Please indicate how strongly you agree or disagree with the following statements. - Today I feel confident.
Q4_9,Today I feel worried/anxious.,Please indicate how strongly you agree or disagree with the following statements. - Today I feel worried/anxious.
Q4_10,Today I feel that my life has a purpose.,Please indicate how strongly you agree or disagree with the following statements. - Today I feel that my life has a purpose.
Q4_11,Today I feel sad.,Please indicate how strongly you agree or disagree with the following statements. - Today I feel sad.
Q4_12,Today I feel useful.,Please indicate how strongly you agree or disagree with the following statements. - Today I feel useful.
Q4_13,Today I feel energetic.,Please indicate how strongly you agree or disagree with the following statements. - Today I feel energetic.
Q4_14,Today I feel supported.,Please indicate how strongly you agree or disagree with the following statements. - Today I feel supported.
Q4_15,Today I feel angry.,Please indicate how strongly you agree or disagree with the following statements. - Today I feel angry.
Q4_16,Today I feel in charge of my life.,Please indicate how strongly you agree or disagree with the following statements. - Today I feel in charge of my life.
Q6_1,Today I woke up feeling well-rested.,Please indicate how strongly you agree or disagree with the following statements. - Today I woke up feeling well-rested.
Q6_2,Today I ate well.,Please indicate how strongly you agree or disagree with the following statements. - Today I ate well.
Q6_3,Today I took good care of myself.,Please indicate how strongly you agree or disagree with the following statements. - Today I took good care of myself.
Q6_4,Today I was helpful to others.,Please indicate how strongly you agree or disagree with the following statements. - Today I was helpful to others.
Q7_1,Today I ... Ate healthy foods,I did the following things for myself today (please choose all that apply): Ate healthy foods
Q7_2,Today I ... Got enough sleep,I did the following things for myself today (please choose all that apply): Got enough sleep
Q7_3,"Today I ... Engaged in a physical activity (e.g., walking, sports)","I did the following things for myself today (please choose all that apply): Engaged in a physical activity (e.g., walking, sports)"
Q7_4,Today I ... Spent time with people I like,I did the following things for myself today (please choose all that apply): Spent time with people I like
Q7_5,Today I ... Engaged in a hobby,I did the following things for myself today (please choose all that apply): Engaged in a hobby
Q7_6,Today I ... Meditated or prayed,I did the following things for myself today (please choose all that apply): Meditated or prayed
Q7_7,Today I ... Participating in a spiritual community,I did the following things for myself today (please choose all that apply): Participating in a spiritual community
Q7_8,Today I ... Volunteered or contributed to a cause I believe in,I did the following things for myself today (please choose all that apply): Volunteered or contributed to a cause I believe in
Q7_9,Today I ... Spent time in nature,I did the following things for myself today (please choose all that apply): Spent time in nature
Q7_10,Today I ... Quiet time,I did the following things for myself today (please choose all that apply): Quiet time
Q8,Comments to Q7,"Do you have any comments about the question above (""I did the following things for myself today""); was there anything unclear or confusing, or any choices missing that should be included?"
Q9,"At some point in my life, I was concerned about my use of alcohol, tobacco, or drugs.","To what extent do you agree with the following statement: 
At some point in my life, I was concerned about my use of alcohol, tobacco, or drugs."
Q11,"With respect to using alcohol, tobacco, or drugs, I have met my goal today.","To what extent do you agree with the following statement: 
With respect to using alcohol, tobacco, or drugs, I have met my goal today."
Q12_1,Helped goal ... Medication,The following activities helped me to meet my goal (please choose all that apply): - Selected Choice Medication
Q12_2,Helped goal ... Support group,The following activities helped me to meet my goal (please choose all that apply): - Selected Choice Support group
Q12_3,Helped goal ... Counselling,The following activities helped me to meet my goal (please choose all that apply): - Selected Choice Counselling
Q12_4,Helped goal ... Family,The following activities helped me to meet my goal (please choose all that apply): - Selected Choice Family
Q12_5,Helped goal ... Friends,The following activities helped me to meet my goal (please choose all that apply): - Selected Choice Friends
Q12_6,Helped goal ... Significant other,The following activities helped me to meet my goal (please choose all that apply): - Selected Choice Significant other
Q12_7,Helped goal ... Religious/spiritual activity,The following activities helped me to meet my goal (please choose all that apply): - Selected Choice Religious/spiritual activity
Q12_8,Helped goal ... Mindfulness/meditation,The following activities helped me to meet my goal (please choose all that apply): - Selected Choice Mindfulness/meditation
Q12_9,Helped goal ... Avoiding negative patterns of thinking,The following activities helped me to meet my goal (please choose all that apply): - Selected Choice Avoiding negative patterns of thinking
Q12_10,Helped goal ... Doing things for others,The following activities helped me to meet my goal (please choose all that apply): - Selected Choice Doing things for others
Q12_11,Helped goal ... Setting healthy boundaries,The following activities helped me to meet my goal (please choose all that apply): - Selected Choice Setting healthy boundaries
Q12_12,Helped goal ... Doing things I enjoy,The following activities helped me to meet my goal (please choose all that apply): - Selected Choice Doing things I enjoy
Q12_13,Helped goal ... No access to substance,The following activities helped me to meet my goal (please choose all that apply): - Selected Choice No access to substance
Q12_14,Helped goal ... Other:,The following activities helped me to meet my goal (please choose all that apply): - Selected Choice Other:
Q12_14_TEXT,Helped goal ... Free text,The following activities helped me to meet my goal (please choose all that apply): - Other: - Text
